Franklin India Banking and PSU Debt Fund - IDCW 	10.4444
HDFC Banking and PSU Debt Fund - Growth Option	19.7678
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	20.4196
HDFC Banking and PSU Debt Fund - IDCW Option	10.1395
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0298
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1892
HSBC Banking and PSU Debt Fund - Direct Growth	21.9569
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3563
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3443
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1143
HSBC Banking and PSU Debt Fund - Regular Growth	21.0061
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.8084
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3172
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.0367
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.8068
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.0467
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.8517
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1010.5033
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2069.7467
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1031.6959
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1012.4897
Invesco India Banking & PSU Debt Fund - Growth Option	1945.9384
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1032.3089
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.4311
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.4311
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.2652
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.2652
